,Unnamed: 0,placeID,name,vicinity,lat,lng,types,place_type_1,place_type_2
17273,17273,ChIJmyGnVGwtO4gRk6BNpf3Yhh4,Campbell at Riverside,Canada,42.314265,-83.060626,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17274,17274,ChIJz25nVGwtO4gRmzZDtSOTjNY,Campbell at Riverside,Canada,42.314386000000006,-83.06055500000001,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17275,17275,ChIJm4G3WWwtO4gRERDDrQcSu2E,Riverside Parking,"Riverside at, Campbell Avenue, Windsor",42.3149032,-83.06050839999997,"['point_of_interest', 'establishment']",[,'
17276,17276,ChIJI5tBEm4tO4gR97kOzItgVxk,Atkinson Pool,"1981 Riverside Drive West, Windsor",42.31263899999999,-83.06310979999998,"['point_of_interest', 'establishment']",[,'
17279,17279,ChIJxRZerm0tO4gRYuDirc-2AuM,Straith Park,Windsor,42.31376309999999,-83.0608031,"['park', 'premise', 'point_of_interest', 'establishment']",[,'
17281,17281,ChIJ1690_W0tO4gRT-LqYwPuImQ,Windsor Rotary Club Public Swimming Pool,Windsor,42.3124348,-83.06290010000002,"['premise', 'point_of_interest', 'establishment']",[,'
17299,17299,ChIJq6qqoUEtO4gRsgfDoJp4SXo,TIME Consulting Inc,"1401 West Fort Street, Detroit",42.32391320000001,-83.06147419999998,"['point_of_interest', 'establishment']",[,'
17305,17305,ChIJJUsVp0EtO4gRkmpZVh6I8Sk,Sherry Arts,"1401 Fort Street, #32772, Detroit",42.323974099999994,-83.06121809999998,"['point_of_interest', 'establishment']",[,'
17315,17315,ChIJwXGWP0EtO4gRPTNOEb-MNa0,Burger King,"1425 West Lafayette Boulevard, Detroit",42.3254862,-83.06148600000002,"['restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17329,17329,ChIJAyRUHkEtO4gRT_rpFL8InCw,United States Postal Service,"1401 W Fort St, Rm 1006, Detroit",42.324817100000004,-83.06040109999998,"['post_office', 'finance', 'point_of_interest', 'establishment']",[,'
17330,17330,ChIJQaCP30AtO4gREkV7b1KgKQw,Haz Subs & Salads,"1360 West Fort Street, Detroit",42.3252964,-83.06035109999998,"['meal_takeaway', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17331,17331,ChIJGZv_IEEtO4gRP9WJejqq3i8,Sheeba Express,"1366 West Fort Street, Detroit",42.32538599999999,-83.060459,"['restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17333,17333,ChIJwzCk30AtO4gRZi-le0DCCUE,Coney King,"1350 West Fort Street, Detroit",42.325417,-83.0603098,"['restaurant', 'food', 'point_of_interest', 'establishment']",[,'
17337,17337,ChIJK0sbFEEtO4gRDIySxeNm8Xw,Happy Four Party Store/Detroit Shawrama,"1444 West Fort Street, Detroit",42.325175200000004,-83.0613807,"['home_goods_store', 'store', 'point_of_interest', 'establishment']",[,'
17344,17344,ChIJPQ4za0EtO4gR_qNjoXE7VSE,Fort & Trumbull,United States,42.3249589,-83.061825,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17347,17347,ChIJPQ4za0EtO4gRssbHtINHazw,Trumbull & Fort,United States,42.325098,-83.06165,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17348,17348,ChIJGyCyW0EtO4gRvmZ_YXPH5L8,Lafayette & Trumbull,United States,42.325796000000004,-83.06252800000001,"['transit_station', 'point_of_interest', 'establishment']",[,'
17349,17349,ChIJz7R8Q0EtO4gRbrQzB0giDdc,Lafayette & Trumbull,United States,42.32562599999999,-83.062187,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17350,17350,ChIJc89RWUEtO4gRmUdgTSlVRr4,Lafayette & Trumbull,United States,42.325697999999996,-83.062687,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17352,17352,ChIJqTptREEtO4gRQBbqU2aqVPg,Trumbull & Lafayette,United States,42.32589400000001,-83.06236899999998,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",[,'
17353,17353,ChIJuzjTHUEtO4gR8kiKTYJAwr8,ATM,"1401 West Fort Street, Detroit",42.32487109999999,-83.0605204,"['atm', 'finance', 'point_of_interest', 'establishment']",[,'
17357,17357,ChIJGZv_IEEtO4gRGLFyLZPJ3aE,Fonath Architects & Consultant,"1366 West Fort Street, Detroit",42.32538599999999,-83.060459,"['point_of_interest', 'establishment']",[,'
17358,17358,ChIJiXMP4EAtO4gRA1zSKBo5f-M,Master Accounting Fort Street,"1364 West Fort Street, Detroit",42.3252893,-83.06033699999998,"['accounting', 'finance', 'point_of_interest', 'establishment']",[,'
17360,17360,ChIJYUUM4EAtO4gRLo6o7RVY84c,Middleton & Thurmen,"1364 West Fort Street, Detroit",42.3253,-83.0603107,"['insurance_agency', 'point_of_interest', 'establishment']",[,'
17361,17361,ChIJwzCk30AtO4gRBRQV3g5Z-nU,Cash Depot,"1350 West Fort Street, Detroit",42.325432299999996,-83.0603208,"['atm', 'finance', 'point_of_interest', 'establishment']",[,'
17367,17367,ChIJX1giAk8tO4gRthsnzzG0X14,House of Bastet,"1301 West Lafayette Boulevard, Detroit",42.32610929999999,-83.06011149999998,"['gym', 'health', 'point_of_interest', 'establishment']",[,'
17372,17372,ChIJE7NS0UAtO4gRoFBDAoSQxf0,Behavioral Health Consulting,"1301 West Lafayette Boulevard, Detroit",42.32608400000001,-83.05996390000001,"['health', 'point_of_interest', 'establishment']",[,'
17375,17375,ChIJE7NS0UAtO4gR2Ek9aNbby8A,Cross Cultures Salon,"1301 West Lafayette Boulevard, Detroit",42.3262586,-83.0602131,"['beauty_salon', 'hair_care', 'point_of_interest', 'establishment']",[,'
17377,17377,ChIJE7NS0UAtO4gR-Li1nrZxdwA,Lafayette Lofts,"1302 West Lafayette Boulevard, Detroit",42.32612,-83.06003630000001,"['point_of_interest', 'establishment']",[,'
17380,17380,ChIJE7NS0UAtO4gRQi-glI0jUFQ,The Magenta Giraffe Theatre Company,"1301 West Lafayette Boulevard, Detroit",42.32610929999999,-83.06011149999998,"['point_of_interest', 'establishment']",[,'
17388,17388,ChIJHRd6y0YtO4gRHra6Oee6u5Y,Precise Business Supply Source LLC,"1401 Howard Street #103, Detroit",42.326640000000005,-83.06134399999998,"['point_of_interest', 'establishment']",[,'
